,0,1,2
0,0,0,-1
1,0,0,-1
2,0,0,-1
3,0,-2,-1
4,0,-4,-1
5,1,-5,-1
6,1,-3,-1
7,0,-1,-1
8,0,1,-1
9,-2,1,-1
10,-2,3,-1
11,-1,4,-1
12,-1,6,-1
13,0,7,-1
14,0,9,-1
15,0,11,-1
16,0,13,-1
17,0,11,-1
18,0,9,-1
19,0,7,-1
20,0,5,-1
21,0,3,-1
22,0,1,-1
23,0,-1,-1
24,2,-1,-1
25,4,-1,-1
26,4,-3,-1
27,4,-1,-1
28,2,-1,-1
29,1,0,-1
30,-1,0,-1
31,0,1,-1
32,0,3,-1
33,0,5,-1
34,0,7,-1
35,0,9,-1
36,0,11,-1
37,0,13,-1
38,0,11,-1
39,1,9,-1
40,1,7,-1
41,1,5,-1
42,3,5,-1
43,3,3,-1
44,3,1,-1
45,3,-1,-1
46,3,-3,-1
47,3,-5,-1
48,4,-6,-1
49,4,-8,-1
50,4,-10,-1
51,4,-12,-1
52,4,-14,-1
53,4,-16,-1
54,6,-16,-1
55,6,-18,-1
56,8,-18,-1
57,8,-20,-1
58,9,-21,-1
59,10,-22,-1
60,12,-22,-1
61,12,-24,-1
62,12,-26,-1
63,14,-26,-1
64,14,-28,-1
65,14,-30,-1
66,16,-30,-1
67,16,-32,-1
68,16,-34,-1
69,18,-34,-1
70,20,-34,-1
71,22,-34,-1
72,22,-36,-1
73,24,-36,-1
74,26,-36,-1
75,26,-38,-1
76,28,-38,-1
77,28,-40,-1
78,28,-42,-1
79,28,-44,-1
80,28,-46,-1
81,28,-48,-1
82,28,-50,-1
83,28,-52,-1
84,30,-52,-1
85,30,-54,-1
86,30,-56,-1
87,32,-56,-1
88,32,-58,-1
89,33,-59,-1
90,31,-59,-1
91,31,-61,-1
92,33,-61,-1
93,35,-61,-1
94,35,-63,-1
95,35,-65,-1
96,35,-67,-1
97,36,-68,-1
98,36,-70,-1
99,38,-70,-1
100,38,-72,-1
101,38,-74,-1
102,38,-76,-1
103,39,-77,-1
104,39,-79,-1
105,39,-81,-1
106,39,-83,-1
107,40,-84,-1
108,40,-86,-1
109,40,-88,-1
110,40,-90,-1
111,40,-92,-1
112,41,-93,-1
113,43,-93,-1
114,45,-93,-1
115,47,-93,-1
116,47,-95,-1
117,48,-96,-1
118,48,-98,-1
119,50,-98,-1
120,50,-100,-1
121,51,-101,-1
122,52,-102,-1
123,51,-100,-1
124,50,-98,-1
125,50,-96,-1
126,50,-94,-1
127,49,-92,-1
128,49,-90,-1
129,47,-90,-1
130,46,-88,-1
131,45,-86,-1
132,45,-88,-1
133,46,-89,-1
134,46,-91,-1
135,46,-93,-1
136,46,-95,-1
137,46,-97,-1
138,48,-97,-1
139,49,-98,-1
140,49,-100,-1
141,50,-101,-1
142,50,-103,-1
143,51,-104,-1
144,51,-106,-1
145,52,-107,-1
146,52,-109,-1
147,51,-107,-1
148,49,-107,-1
149,47,-107,-1
150,45,-107,-1
151,44,-105,-1
152,44,-103,-1
153,43,-101,-1
154,43,-99,-1
155,41,-99,-1
156,41,-97,-1
157,41,-95,-1
158,41,-93,-1
159,40,-91,-1
160,40,-89,-1
