,0,1,2
0,0,0,-1
1,0,0,-1
2,0,0,-1
3,-2,0,-1
4,-4,0,-1
5,-4,2,-1
6,-4,4,-1
7,-4,6,-1
8,-3,7,-1
9,-3,9,-1
10,-3,11,-1
11,-2,12,-1
12,-2,14,-1
13,-1,15,-1
14,0,13,-1
15,0,11,-1
16,0,9,-1
17,0,7,-1
18,0,5,-1
19,1,3,-1
20,1,1,-1
21,2,0,-1
22,2,-2,-1
23,4,-2,-1
24,4,-4,-1
25,6,-4,-1
26,6,-6,-1
27,6,-8,-1
28,6,-10,-1
29,7,-11,-1
30,9,-11,-1
31,9,-13,-1
32,9,-15,-1
33,9,-17,-1
34,9,-19,-1
35,11,-19,-1
36,11,-21,-1
37,12,-22,-1
38,12,-24,-1
39,13,-25,-1
40,13,-27,-1
41,15,-27,-1
42,13,-27,-1
43,11,-27,-1
44,13,-27,-1
45,13,-29,-1
46,14,-30,-1
47,16,-30,-1
48,16,-32,-1
49,16,-34,-1
50,17,-35,-1
51,17,-37,-1
52,17,-39,-1
53,17,-41,-1
54,19,-41,-1
55,21,-41,-1
56,21,-43,-1
57,23,-43,-1
58,23,-45,-1
59,25,-45,-1
60,25,-47,-1
61,25,-49,-1
62,27,-49,-1
63,25,-49,-1
64,25,-47,-1
65,24,-45,-1
66,23,-43,-1
67,22,-41,-1
68,21,-39,-1
69,20,-37,-1
70,20,-35,-1
71,18,-35,-1
72,16,-35,-1
73,15,-33,-1
74,14,-31,-1
75,13,-29,-1
76,12,-27,-1
77,11,-25,-1
78,11,-23,-1
79,11,-21,-1
80,10,-19,-1
81,10,-17,-1
82,9,-15,-1
83,9,-13,-1
84,8,-11,-1
85,8,-9,-1
86,7,-7,-1
87,5,-7,-1
88,4,-5,-1
89,4,-3,-1
90,3,-1,-1
91,2,0,-1
92,2,2,-1
93,2,4,-1
94,2,6,-1
95,0,6,-1
96,-2,6,-1
97,-4,6,-1
98,-6,6,-1
99,-5,7,-1
100,-4,8,-1
101,-3,9,-1
102,-3,11,-1
103,-2,12,-1
104,-1,13,-1
105,0,11,-1
106,0,9,-1
107,2,9,-1
108,3,7,-1
109,3,5,-1
110,3,3,-1
111,3,1,-1
112,3,-1,-1
113,3,-3,-1
114,3,-5,-1
115,4,-6,-1
116,4,-8,-1
117,4,-10,-1
118,4,-12,-1
119,4,-14,-1
120,4,-16,-1
121,4,-18,-1
122,6,-18,-1
123,6,-20,-1
124,8,-20,-1
125,8,-22,-1
126,9,-23,-1
127,9,-25,-1
128,9,-27,-1
129,10,-28,-1
130,12,-28,-1
131,12,-30,-1
132,12,-32,-1
133,12,-30,-1
134,11,-28,-1
135,11,-26,-1
136,9,-26,-1
137,9,-24,-1
138,11,-24,-1
139,12,-25,-1
140,12,-27,-1
141,12,-29,-1
142,11,-27,-1
143,9,-27,-1
144,9,-25,-1
145,8,-23,-1
146,7,-21,-1
147,7,-19,-1
148,5,-19,-1
149,4,-17,-1
150,4,-19,-1
151,4,-21,-1
152,4,-19,-1
153,4,-17,-1
154,4,-15,-1
155,4,-17,-1
156,5,-18,-1
157,5,-20,-1
158,6,-21,-1
159,8,-21,-1
160,8,-23,-1
